"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"XX1","BT_NAMI","28.839mm","12.68mm","28.189mm","12.68mm","28.189mm","12.68mm","B","360.00","TIANX"
"J5","2P-1.25mm","-9.56mm","52.685mm","-8.26mm","52.685mm","-8.26mm","52.06mm","B","90.00","应急接口"
"TLED1","F5_DIP2","12.065mm","100.965mm","12.065mm","100.965mm","12.065mm","100.965mm","T","180.00","F5"
"R24","LC-0603_R","14.478mm","97.155mm","14.478mm","97.155mm","14.478mm","97.8662mm","B","270.00","200R"
"R26","LC-0603_R","9.271mm","97.155mm","9.271mm","97.155mm","9.271mm","97.8662mm","B","270.00","200R"
"Y1","晶振-9","7.176mm","28.002mm","11.176mm","28.702mm","11.176mm","28.702mm","B","270.00","32.768KHZ"
"X1","XTAL3225","18.415mm","25.3776mm","18.415mm","25.3776mm","19.365mm","24.6276mm","B","180.00","16MHZ"
"UB1","SOP8","11.303mm","23.241mm","11.303mm","23.241mm","13.903mm","25.146mm","B","180.00","PCF8563"
"U3","SOT-23-3L","5.8936mm","58.547mm","5.8936mm","58.547mm","6.9096mm","59.497mm","B","270.00","HT7533-1"
"U2","QFN32_4*4*0.4","24.638mm","26.543mm","24.638mm","26.543mm","22.638mm","25.143mm","B","360.00","BK3431Q"
"U1","SOP8","1.524mm","35.56mm","1.524mm","35.56mm","4.124mm","37.465mm","B","180.00","CP2117"
"T2","SOT-23-3L","-10.6426mm","64.262mm","-10.6426mm","64.262mm","-11.6586mm","63.312mm","B","90.00","SS8050"
"T1","SOT-23-3L","25.273mm","51.689mm","25.273mm","51.689mm","24.257mm","50.739mm","B","90.00","SS8050"
"RW2","LC-0603_R","-8.89mm","38.608mm","-8.89mm","38.608mm","-9.6012mm","38.608mm","B","0.00","100K"
"RW1","LC-0603_R","-8.89mm","42.672mm","-8.89mm","42.672mm","-9.6012mm","42.672mm","B","0.00","100K"
"RM2","0603R","8.128mm","36.449mm","8.128mm","36.449mm","8.8392mm","36.449mm","B","180.00","10K"
"RM1","0603R","8.128mm","34.544mm","8.128mm","34.544mm","8.8392mm","34.544mm","B","180.00","10K"
"R30","LC-0603_R","16.637mm","41.529mm","16.637mm","41.529mm","15.9258mm","41.529mm","B","0.00","10K"
"R29","LC-0603_R","16.637mm","39.37mm","16.637mm","39.37mm","15.9258mm","39.37mm","B","0.00","4.7K"
"R28","LC-0603_R","5.7754mm","39.624mm","5.7754mm","39.624mm","5.0642mm","39.624mm","B","0.00","1K"
"R27","LC-0603_R","5.7754mm","41.783mm","5.7754mm","41.783mm","5.0642mm","41.783mm","B","360.00","100K"
"R25","0603R","-10.668mm","61.087mm","-10.668mm","61.087mm","-11.3792mm","61.087mm","B","0.00","10K"
"R23","0603R","-10.668mm","59.055mm","-10.668mm","59.055mm","-11.3792mm","59.055mm","B","0.00","1K"
"R22","0603R","31.877mm","30.988mm","31.877mm","30.988mm","31.877mm","31.6992mm","T","270.00","560R"
"R21","0603R","14.224mm","30.988mm","14.224mm","30.988mm","14.224mm","31.6992mm","T","270.00","560R"
"R20","0603R","-3.302mm","30.988mm","-3.302mm","30.988mm","-3.302mm","31.6992mm","T","270.00","560R"
"R19","0603R","31.877mm","45.466mm","31.877mm","45.466mm","31.877mm","46.1772mm","T","270.00","560R"
"R18","0603R","14.224mm","45.466mm","14.224mm","45.466mm","14.224mm","46.1772mm","T","270.00","560R"
"R17","0603R","-3.302mm","45.466mm","-3.302mm","45.466mm","-3.302mm","46.1772mm","T","270.00","560R"
"R16","0603R","3.683mm","13.589mm","3.683mm","13.589mm","2.9718mm","13.589mm","B","0.00","10K"
"R15","0603R","31.877mm","60.325mm","31.877mm","60.325mm","31.877mm","61.0362mm","T","270.00","560R"
"R14","0603R","14.224mm","60.325mm","14.224mm","60.325mm","14.224mm","61.0362mm","T","270.00","560R"
"R13","0603R","3.683mm","19.05mm","3.683mm","19.05mm","2.9718mm","19.05mm","B","0.00","10K"
"R12","0603R","-3.302mm","60.325mm","-3.302mm","60.325mm","-3.302mm","61.0362mm","T","270.00","560R"
"R11","0603R","31.877mm","74.549mm","31.877mm","74.549mm","31.877mm","75.2602mm","T","270.00","560R"
"R10","0603R","14.224mm","74.549mm","14.224mm","74.549mm","14.224mm","75.2602mm","T","270.00","560R"
"R9","0603R","-3.302mm","74.549mm","-3.302mm","74.549mm","-3.302mm","75.2602mm","T","270.00","560R"
"R8","0603R","15.748mm","61.087mm","15.748mm","61.087mm","16.4592mm","61.087mm","B","180.00","10K"
"R7","0603R","20.955mm","52.197mm","20.955mm","52.197mm","21.6662mm","52.197mm","B","180.00","10K"
"R6","0603R","20.955mm","50.419mm","20.955mm","50.419mm","21.6662mm","50.419mm","B","180.00","200R"
"R5","0603R","25.019mm","45.593mm","25.019mm","45.593mm","25.7302mm","45.593mm","B","180.00","10R"
"R4","0603R","30.861mm","19.0863mm","30.861mm","19.0863mm","31.5722mm","19.0863mm","B","180.00","10R"
"R3","0603R","30.861mm","17.018mm","30.861mm","17.018mm","31.5722mm","17.018mm","B","180.00","10R"
"R2","0603R","18.2136mm","30.4546mm","18.2136mm","30.4546mm","18.9248mm","30.4546mm","B","180.00","100K%1"
"R1","0603R","18.2136mm","34.925mm","18.2136mm","34.925mm","17.5024mm","34.925mm","B","0.00","510K%1"
"Q6","SOT-23_-_BCE","12.446mm","40.767mm","12.446mm","40.767mm","13.462mm","41.717mm","B","270.00","PMBT3904"
"Q5","SOT-23_-_GDS","5.8008mm","49.53mm","5.8008mm","49.53mm","4.7848mm","48.58mm","B","90.00","SI2301"
"Q4","SOT-23_-_GDS","5.8008mm","45.466mm","5.8008mm","45.466mm","4.7848mm","44.516mm","B","90.00","SI2301"
"Q3","SOT-23_-_BCE","-3.683mm","40.259mm","-3.683mm","40.259mm","-4.699mm","39.309mm","B","90.00","PMBT3904"
"Q2","SOT-23_-_GDS","3.556mm","10.668mm","3.556mm","10.668mm","2.54mm","9.718mm","B","90.00","BSS123W"
"Q1","SOT-23_-_GDS","3.683mm","16.256mm","3.683mm","16.256mm","2.667mm","15.306mm","B","90.00","BSS123W"
"LED12","0603LED","29.5541mm","30.8963mm","29.5541mm","30.8963mm","29.5541mm","30.1343mm","T","90.00","BLUE"
"LED11","0603LED","12.0281mm","30.8963mm","12.0281mm","30.8963mm","12.0281mm","30.1343mm","T","90.00","BLUE"
"LED10","0603LED","-5.4979mm","30.8963mm","-5.4979mm","30.8963mm","-5.4979mm","30.1343mm","T","90.00","BLUE"
"LED9","0603LED","29.5541mm","45.2473mm","29.5541mm","45.2473mm","29.5541mm","44.4853mm","T","90.00","BLUE"
"LED8","0603LED","11.9011mm","45.2473mm","11.9011mm","45.2473mm","11.9011mm","44.4853mm","T","90.00","BLUE"
"LED7","0603LED","-5.4979mm","45.2473mm","-5.4979mm","45.2473mm","-5.4979mm","44.4853mm","T","90.00","BLUE"
"LED6","0603LED","29.5541mm","60.1063mm","29.5541mm","60.1063mm","29.5541mm","59.3443mm","T","90.00","BLUE"
"LED5","0603LED","12.0281mm","60.1063mm","12.0281mm","60.1063mm","12.0281mm","59.3443mm","T","90.00","BLUE"
"LED4","0603LED","-5.3709mm","60.1063mm","-5.3709mm","60.1063mm","-5.3709mm","59.3443mm","T","90.00","BLUE"
"LED3","0603LED","29.464mm","74.422mm","29.464mm","74.422mm","29.464mm","73.66mm","T","90.00","BLUE"
"LED2","0603LED","11.938mm","74.422mm","11.938mm","74.422mm","11.938mm","73.66mm","T","90.00","BLUE"
"LED1","0603LED","-5.461mm","74.422mm","-5.461mm","74.422mm","-5.461mm","73.66mm","T","90.00","BLUE"
"L2","0805L","25.273mm","33.909mm","25.273mm","33.909mm","24.4348mm","33.909mm","B","360.00","4.7uH"
"L1","0603L","23.114mm","19.812mm","23.114mm","19.812mm","23.114mm","19.1008mm","B","90.00","2nH"
"J7","JC20-4P","12.06mm","67.29mm","12.06mm","67.29mm","9.06mm","67.29mm","B","180.00","后板端口"
"J6","8P-1.25MM","-4mm","16mm","-4mm","16mm","-2.55mm","11.6249mm","B","90.00","Header 8"
"J3","6P-0.5MM_1","11.788mm","13.99mm","11.938mm","15.24mm","13.1876mm","15.24mm","B","180.00","指纹串口"
"J2","7P-2.0MM","36.703mm","19.654mm","36.703mm","25.654mm","36.703mm","25.654mm","B","270.00","7P"
"J1","S2B-PH-SM3-TB","-8.673mm","32.385mm","-6.223mm","32.385mm","-5.523mm","31.385mm","B","90.00","电机接口"
"D1","LC-SMAF_S1","-1.905mm","54.61mm","-1.905mm","54.61mm","-3.905mm","54.61mm","B","180.00","SS14"
"C28","0603C","5.7754mm","52.578mm","5.7754mm","52.578mm","6.4866mm","52.578mm","B","180.00","100nF"
"C27","CAP-SMD_6.3*5.8","11.43mm","54.5183mm","11.43mm","54.5183mm","9.08mm","54.5132mm","B","360.00","220uF/10V"
"C26","0603C","-2.159mm","43.18mm","-2.159mm","43.18mm","-1.4478mm","43.18mm","B","180.00","100nF"
"C25","0805C","-2.3622mm","45.847mm","-2.3622mm","45.847mm","-1.524mm","45.847mm","B","180.00","10uF/16V"
"C24","0603C","-8.89mm","40.64mm","-8.89mm","40.64mm","-9.6012mm","40.64mm","B","0.00","10uF/10V"
"C23","0603C","14.097mm","29.337mm","14.097mm","29.337mm","14.8082mm","29.337mm","B","180.00","22pF"
"C22","0603C","14.097mm","27.178mm","14.097mm","27.178mm","13.3858mm","27.178mm","B","0.00","22pF"
"C21","0603C","5.969mm","24.003mm","5.969mm","24.003mm","5.969mm","24.7142mm","B","270.00","0.1uF"
"C20","0603C","21.971mm","33.909mm","21.971mm","33.909mm","21.2598mm","33.909mm","B","0.00","10uF/6.3V"
"C19","0603C","30.861mm","31.496mm","30.861mm","31.496mm","30.1498mm","31.496mm","B","0.00","10uF/6.3V"
"C18","0603C","30.861mm","29.4277mm","30.861mm","29.4277mm","30.1498mm","29.4277mm","B","0.00","0.1uF"
"C17","0603C","30.861mm","27.3594mm","30.861mm","27.3594mm","30.1498mm","27.3594mm","B","0.00","0.1uF"
"C16","0603C","18.2136mm","28.2194mm","18.2136mm","28.2194mm","17.5024mm","28.2194mm","B","0.00","2.7pF"
"C15","0603C","25.019mm","48.006mm","25.019mm","48.006mm","24.3078mm","48.006mm","B","0.00","10uF/10V"
"C14","0603C","30.861mm","23.2229mm","30.861mm","23.2229mm","31.5722mm","23.2229mm","B","180.00","0.1uF"
"C13","0603C","30.861mm","21.1546mm","30.861mm","21.1546mm","31.5722mm","21.1546mm","B","180.00","1uF"
"C12","0603C","30.861mm","25.2911mm","30.861mm","25.2911mm","30.1498mm","25.2911mm","B","0.00","0.1uF"
"C11","0603C","18.2136mm","22.479mm","18.2136mm","22.479mm","17.5024mm","22.479mm","B","0.00","0.1uF"
